customer_id,age,city,monthly_income,avg_monthly_balance,monthly_expense,existing_emi,cibil_score,salary_consistency,digital_activity_score,credit_card_spend,investment_amount,rent_payment,loan_history,foir,savings_ratio,recommended_loan,loan_accepted
CUST00022,48,Mumbai,28729,45723,19951,9011,825,0.62,61,14225,16291,1,0,0.31,-0.01,None,0
CUST00023,57,Pune,88316,37999,25838,15769,721,0.93,34,22659,5810,1,1,0.18,0.53,Home Loan,1
CUST00024,43,Hyderabad,73609,115027,29454,1286,633,0.72,27,34853,11120,1,3,0.02,0.58,None,0
CUST00025,53,Hyderabad,205251,164057,137458,12778,723,0.99,49,14898,57300,0,1,0.06,0.27,Mortgage Loan,1
CUST00026,47,Hyderabad,26308,6247,13337,8150,708,0.5,20,7715,4415,0,0,0.31,0.18,Mortgage Loan,1
CUST00027,22,Hyderabad,152415,149120,98195,29881,826,0.43,45,37461,80854,0,1,0.2,0.16,Mortgage Loan,1
CUST00028,51,Pune,245053,432559,87042,1892,618,0.61,42,18729,162813,1,3,0.01,0.64,Home Loan,1
CUST00029,40,Pune,118793,113063,68142,36562,595,0.44,21,7671,48710,1,3,0.31,0.12,None,0
CUST00030,56,Chennai,184267,58679,135753,68047,847,0.63,52,75239,26659,0,3,0.37,-0.11,None,0
CUST00031,23,Hyderabad,115532,30102,76228,3701,843,0.63,93,7255,65868,0,3,0.03,0.31,Auto Loan,1
CUST00032,57,Hyderabad,182568,267629,76536,14577,771,0.75,55,46483,99223,0,1,0.08,0.5,Auto Loan,1
CUST00033,33,Bangalore,185280,232662,128574,19863,641,0.7,32,100521,50477,0,0,0.11,0.2,None,0
CUST00034,30,Mumbai,184342,318277,120939,40026,723,0.67,31,42539,86781,1,2,0.22,0.13,None,0
CUST00035,35,Pune,144174,28111,99800,35418,725,0.98,28,67593,62391,0,2,0.25,0.06,Personal Loan,1
CUST00036,30,Bangalore,111105,179570,37549,25664,715,0.62,84,59352,18407,1,0,0.23,0.43,Home Loan,1
CUST00037,27,Bangalore,238411,57683,170770,59908,670,0.55,38,26501,82213,0,3,0.25,0.03,None,0
CUST00038,29,Hyderabad,162188,243078,112968,49705,769,0.64,44,85591,25385,1,3,0.31,-0.0,Home Loan,1
CUST00039,42,Hyderabad,38559,38446,32612,1280,806,0.82,76,13021,16988,1,2,0.03,0.12,None,0
CUST00040,24,Mumbai,168159,227531,134384,72546,735,0.6,55,51294,41593,1,3,0.43,-0.23,None,0
CUST00041,57,Nagpur,38159,33217,10279,4803,791,0.76,48,4703,2035,1,2,0.13,0.6,None,0
CUST00042,46,Pune,147473,35492,114438,36604,584,0.42,52,70445,49589,1,2,0.25,-0.02,None,0
CUST00043,46,Hyderabad,38309,57830,22657,1094,684,0.65,20,2203,2020,1,0,0.03,0.38,None,0
CUST00044,59,Mumbai,98642,103005,70173,41937,662,0.55,97,16056,17361,0,3,0.43,-0.14,None,0
CUST00045,53,Chennai,110193,78113,35056,33301,741,0.69,22,37034,65733,1,0,0.3,0.38,Home Loan,1
CUST00046,38,Nagpur,202943,185911,101942,71659,645,0.88,57,79045,139284,1,1,0.35,0.14,None,0
CUST00047,48,Mumbai,210958,281602,122032,42805,609,0.77,70,91493,117615,1,0,0.2,0.22,Home Loan,1
CUST00048,41,Chennai,143911,25610,89582,22498,705,0.78,94,13200,12983,0,2,0.16,0.22,Auto Loan,1
CUST00049,37,Bangalore,42071,17085,28099,7793,774,0.71,51,6090,5662,0,0,0.19,0.15,None,0
CUST00050,43,Nagpur,97252,100443,55497,15579,625,0.62,97,22519,21892,0,2,0.16,0.27,Auto Loan,1
CUST00051,51,Nagpur,168334,124800,42345,65774,587,0.85,71,27799,43654,1,1,0.39,0.36,Home Loan,1
CUST00052,35,Delhi,62247,82469,17890,4138,586,0.81,42,20630,23185,0,1,0.07,0.65,Mortgage Loan,1
CUST00053,36,Mumbai,64271,35844,30616,580,810,0.45,63,11457,15428,1,1,0.01,0.51,Auto Loan,1
CUST00054,39,Hyderabad,44734,48900,30960,11227,815,0.48,60,10539,28171,1,2,0.25,0.06,None,0
CUST00055,54,Delhi,134148,36626,45840,14847,583,0.91,81,27742,16280,1,2,0.11,0.55,Home Loan,1
CUST00056,52,Nagpur,22324,39514,7081,3996,799,0.95,98,11148,4030,0,2,0.18,0.5,Personal Loan,1
CUST00057,32,Hyderabad,97239,88512,73235,8973,697,0.83,39,17826,7816,1,3,0.09,0.15,Home Loan,1
CUST00058,32,Mumbai,50254,46130,28622,1171,757,0.67,24,4264,34824,0,1,0.02,0.41,Mortgage Loan,1
CUST00059,58,Mumbai,126872,176654,77059,26923,673,0.46,88,64303,85704,0,3,0.21,0.18,None,0
CUST00060,55,Hyderabad,102555,76371,82645,33301,639,0.91,91,51827,53877,1,2,0.32,-0.13,None,0
CUST00061,26,Mumbai,168354,207216,94924,27184,816,0.75,37,84030,51751,0,2,0.16,0.27,Personal Loan,1
CUST00062,44,Nagpur,120974,115484,47098,48971,683,0.54,58,13826,79586,1,3,0.4,0.21,None,0
CUST00063,50,Delhi,23408,23569,18406,8306,617,0.85,46,10748,549,1,1,0.35,-0.14,None,0
CUST00064,31,Delhi,192944,53051,110342,32891,795,0.76,34,94255,20247,0,3,0.17,0.26,Personal Loan,1
CUST00065,52,Pune,188738,200319,128286,50876,727,0.51,93,44992,30036,0,1,0.27,0.05,None,0
CUST00066,34,Nagpur,91319,87667,56332,744,750,0.96,87,44248,1471,1,0,0.01,0.37,Home Loan,1
CUST00067,30,Nagpur,235138,317896,190607,97936,836,0.47,40,33162,30667,1,0,0.42,-0.23,None,0
CUST00068,42,Pune,160766,31043,72524,58082,696,0.76,54,43244,60476,1,1,0.36,0.19,None,0
CUST00069,48,Nagpur,75761,125867,45626,1119,830,0.48,43,27857,8777,0,0,0.01,0.38,Personal Loan,1
CUST00070,43,Mumbai,37097,4535,24043,2972,663,0.68,39,10314,2216,1,0,0.08,0.27,None,0
CUST00071,53,Chennai,191021,262641,71813,77196,611,0.68,68,13391,63122,1,1,0.4,0.22,None,0
CUST00072,23,Bangalore,155717,132249,76372,39215,711,0.51,48,14252,82105,0,2,0.25,0.26,Mortgage Loan,1
CUST00073,54,Delhi,231046,84437,157015,68508,826,0.55,78,75789,96238,0,0,0.3,0.02,None,0
CUST00074,54,Nagpur,103595,52306,32079,11336,657,0.76,65,52483,28802,1,0,0.11,0.58,Home Loan,1
CUST00075,39,Delhi,24150,28412,16700,9217,691,0.51,55,9747,11900,1,0,0.38,-0.07,None,0
CUST00076,23,Pune,112914,124600,46389,31713,835,0.73,72,23932,74965,1,3,0.28,0.31,Home Loan,1
CUST00077,51,Delhi,37063,65791,19741,3037,694,0.71,28,12894,16435,0,1,0.08,0.39,None,0
CUST00078,25,Pune,73961,73493,26108,9063,654,0.89,61,27149,14188,1,0,0.12,0.52,Home Loan,1
CUST00079,33,Hyderabad,19622,5517,6553,2328,713,0.84,31,7813,6789,1,0,0.12,0.55,Personal Loan,1
CUST00080,49,Mumbai,178445,175261,49639,13352,772,0.45,55,84590,8525,1,2,0.07,0.65,Home Loan,1
CUST00081,56,Mumbai,134021,121863,86872,56499,648,0.69,55,46493,15199,1,0,0.42,-0.07,None,0
CUST00082,47,Chennai,150596,103226,69413,27974,640,0.81,61,45604,8004,0,3,0.19,0.35,Auto Loan,1
CUST00083,55,Nagpur,41051,29296,12518,16945,596,0.97,74,13822,2491,1,2,0.41,0.28,None,0
CUST00084,42,Pune,29344,35797,19524,11213,604,0.94,31,5037,20287,1,2,0.38,-0.05,None,0
CUST00085,37,Pune,88342,158918,51546,18811,849,0.47,26,18864,57164,1,2,0.21,0.2,Home Loan,1
CUST00086,52,Delhi,203309,39299,106348,47797,682,0.42,50,50945,79793,1,2,0.24,0.24,Home Loan,1
CUST00087,47,Nagpur,169734,133686,100729,61408,583,0.87,44,77368,61803,0,3,0.36,0.04,None,0
CUST00088,56,Bangalore,201465,359328,50394,16814,675,0.88,58,11124,7429,0,1,0.08,0.67,Auto Loan,1
CUST00089,31,Mumbai,123373,99957,62033,40948,756,0.47,33,26321,73650,1,0,0.33,0.17,Home Loan,1
CUST00090,36,Delhi,184472,52776,89464,10329,766,0.97,80,35499,76000,1,2,0.06,0.46,Home Loan,1
CUST00091,34,Mumbai,229169,87991,193579,23891,727,0.9,73,88059,82244,0,1,0.1,0.05,Personal Loan,1
CUST00092,24,Chennai,163271,113508,46484,71201,756,0.71,39,97505,19874,0,1,0.44,0.28,None,0
CUST00093,38,Hyderabad,130855,212723,69095,36681,668,0.76,33,68446,41900,0,2,0.28,0.19,Personal Loan,1
CUST00094,30,Pune,35602,61399,27316,12969,619,0.96,30,3483,10179,0,3,0.36,-0.13,None,0
CUST00095,39,Pune,243733,423024,76941,98106,660,0.44,64,76610,101072,1,3,0.4,0.28,Home Loan,1
CUST00096,48,Nagpur,241180,133601,187439,86545,747,0.55,78,127104,119590,1,0,0.36,-0.14,None,0
CUST00097,48,Pune,151541,63901,118047,65555,828,0.42,42,8005,86978,0,2,0.43,-0.21,None,0
CUST00098,57,Hyderabad,144209,218423,79961,414,803,0.45,46,85033,63779,0,3,0.0,0.44,Personal Loan,1
CUST00099,56,Bangalore,150079,42302,106048,36554,803,0.9,47,59722,97914,0,3,0.24,0.05,Personal Loan,1
CUST00100,25,Bangalore,199264,281096,134531,42464,601,0.77,69,118478,94299,0,2,0.21,0.11,Personal Loan,1
CUST00101,33,Nagpur,236118,49954,175413,39508,637,0.4,65,72652,156076,0,0,0.17,0.09,Auto Loan,1
CUST00102,50,Nagpur,93932,57038,70821,32666,663,0.79,46,49542,63335,0,0,0.35,-0.1,None,0
CUST00103,37,Bangalore,177674,309096,125447,35363,836,0.59,57,31355,26504,0,0,0.2,0.09,None,0
CUST00104,39,Bangalore,187230,168807,107833,13417,724,0.45,27,88748,110718,1,2,0.07,0.35,Home Loan,1
CUST00105,45,Chennai,62859,109674,22709,13071,801,0.47,36,24139,10892,1,3,0.21,0.43,Personal Loan,1
CUST00106,23,Chennai,72615,60743,61040,4887,674,0.83,30,31387,43720,1,3,0.07,0.09,None,0
CUST00107,45,Mumbai,224376,114763,188924,14387,659,0.69,39,53919,121850,1,0,0.06,0.09,None,0
CUST00108,54,Delhi,130360,90739,35187,4609,682,0.48,65,56218,74958,0,3,0.04,0.69,Personal Loan,1
CUST00109,24,Delhi,198858,30563,161418,4650,620,0.83,27,113556,87042,1,2,0.02,0.16,None,0
CUST00110,41,Hyderabad,116511,120112,86262,23715,582,0.42,79,52706,6657,0,2,0.2,0.06,None,0
CUST00111,46,Chennai,97148,111405,43465,20554,752,0.51,72,40053,33879,1,1,0.21,0.34,Home Loan,1
CUST00112,58,Bangalore,20920,19634,6253,3796,672,0.65,98,4010,6774,1,2,0.18,0.52,None,0
CUST00113,58,Bangalore,227411,307026,161606,51663,629,0.92,55,15047,62961,1,2,0.23,0.06,Home Loan,1
CUST00114,27,Chennai,194422,110938,117705,79822,847,0.63,37,77255,99773,0,3,0.41,-0.02,None,0
CUST00115,44,Nagpur,160633,80930,133781,13081,620,0.55,79,43814,66669,1,3,0.08,0.09,None,0
CUST00116,27,Delhi,119520,91413,99398,13883,808,0.41,84,56821,10949,1,2,0.12,0.05,Home Loan,1
CUST00117,31,Mumbai,62738,53417,28140,12669,836,0.67,27,24432,31039,0,3,0.2,0.35,Personal Loan,1
CUST00118,58,Mumbai,200958,246870,107468,76339,623,0.67,98,71737,75948,0,1,0.38,0.09,None,0
CUST00119,58,Delhi,109155,20508,69204,11037,824,0.45,52,35909,3176,0,0,0.1,0.26,Auto Loan,1
CUST00120,55,Pune,63272,75072,48766,12947,757,0.61,57,8023,1327,0,3,0.2,0.02,None,0
CUST00121,42,Mumbai,141008,189290,48464,14883,665,0.55,84,72049,93238,1,1,0.11,0.55,Home Loan,1
CUST00122,47,Pune,54487,85535,38746,2773,580,0.53,99,27502,25438,1,1,0.05,0.24,Personal Loan,1
CUST00123,27,Chennai,23704,37285,20053,8025,824,0.74,94,12638,6705,0,1,0.34,-0.18,None,0
CUST00124,55,Nagpur,91297,145382,40199,35697,708,0.47,73,37157,20986,1,1,0.39,0.17,None,0
CUST00125,42,Pune,226786,172481,117750,24242,681,0.44,91,94687,98344,1,2,0.11,0.37,Home Loan,1
CUST00126,29,Chennai,184703,284476,147493,67637,732,0.63,67,68172,68990,1,3,0.37,-0.16,None,0
CUST00127,42,Hyderabad,182246,151713,143615,5845,782,0.63,87,102775,44857,0,0,0.03,0.18,Personal Loan,1
CUST00128,48,Bangalore,191724,280903,109953,26858,737,0.83,68,112580,110475,1,2,0.14,0.29,Home Loan,1
CUST00129,31,Nagpur,178806,177514,120770,8599,615,0.65,26,89163,46750,1,2,0.05,0.28,None,0
CUST00130,43,Pune,172741,168560,104702,61700,589,0.5,61,94146,42735,0,0,0.36,0.04,None,0
CUST00131,45,Nagpur,204898,316976,133768,74641,743,0.49,74,76352,24098,1,1,0.36,-0.02,None,0
CUST00132,42,Nagpur,67104,27066,29348,6952,739,0.78,92,17782,27924,1,1,0.1,0.46,Auto Loan,1
CUST00133,42,Hyderabad,112018,95508,57966,36521,767,0.89,87,50227,45352,0,1,0.33,0.16,Personal Loan,1
CUST00134,54,Chennai,222451,94802,98773,22688,775,0.67,79,19394,124628,0,0,0.1,0.45,Auto Loan,1
CUST00135,29,Chennai,91794,92347,40811,13755,709,1.0,21,22913,63965,0,3,0.15,0.41,Mortgage Loan,1
CUST00136,57,Chennai,60828,71742,42756,4666,685,0.46,74,28339,14799,1,3,0.08,0.22,None,0
CUST00137,44,Mumbai,120747,212041,31637,40055,827,0.72,49,40634,52707,0,2,0.33,0.41,Mortgage Loan,1
CUST00138,37,Delhi,28699,41023,19378,466,730,0.56,85,7447,6957,0,0,0.02,0.31,None,0
CUST00139,44,Pune,36073,40438,20179,14924,722,1.0,31,20266,2938,1,2,0.41,0.03,None,0
CUST00140,51,Pune,222237,326704,160903,30469,652,0.59,54,32321,108110,0,3,0.14,0.14,None,0
CUST00141,46,Mumbai,142865,46472,109607,59323,849,0.48,99,67238,17484,1,0,0.42,-0.18,None,0
CUST00142,34,Bangalore,197316,60575,105946,44938,658,0.98,79,94158,16855,1,2,0.23,0.24,Home Loan,1
CUST00143,39,Pune,201260,56278,127698,19565,833,0.76,42,26891,8643,1,1,0.1,0.27,Home Loan,1
CUST00144,32,Bangalore,198913,39429,132679,88049,662,0.5,40,23225,42227,0,3,0.44,-0.11,None,0
CUST00145,54,Nagpur,115539,135922,44752,12095,800,0.77,57,32853,10571,1,1,0.1,0.51,Home Loan,1
CUST00146,48,Nagpur,44715,41083,15924,7788,712,0.41,21,5526,13101,1,0,0.17,0.47,None,0
CUST00147,26,Bangalore,245392,159492,184186,69491,760,0.88,64,18023,63798,0,2,0.28,-0.03,Auto Loan,1
CUST00148,47,Mumbai,28749,10208,12787,9539,811,0.89,71,15028,7896,1,0,0.33,0.22,Personal Loan,1
CUST00149,22,Mumbai,213713,180357,86084,80867,811,0.68,94,68922,57797,1,0,0.38,0.22,None,0
CUST00150,44,Delhi,174503,279236,54692,77605,666,0.81,96,12374,91150,1,2,0.44,0.24,Home Loan,1
CUST00151,45,Hyderabad,225888,389894,156428,35907,807,0.61,34,128366,123942,0,1,0.16,0.15,None,0
CUST00152,51,Mumbai,142917,200002,58457,1347,799,0.94,27,67610,62492,0,1,0.01,0.58,Personal Loan,1
CUST00153,57,Hyderabad,115661,62828,33721,49956,698,0.43,29,56592,23707,1,1,0.43,0.28,None,0
CUST00154,53,Pune,130990,129065,81200,9233,589,0.6,59,49670,8711,0,1,0.07,0.31,None,0
CUST00155,43,Mumbai,226883,115523,73260,20161,753,0.41,40,47021,129587,1,0,0.09,0.59,Home Loan,1
CUST00156,39,Hyderabad,118500,163953,62369,44899,817,0.87,94,26784,62476,0,3,0.38,0.09,Auto Loan,1
CUST00157,39,Delhi,162129,52519,111153,59664,674,0.69,42,83072,83165,1,0,0.37,-0.05,None,0
CUST00158,40,Mumbai,99942,127036,77354,28616,707,0.66,27,30368,652,0,0,0.29,-0.06,None,0
CUST00159,25,Bangalore,212018,165912,154782,19466,589,0.85,65,82430,27905,0,0,0.09,0.18,Personal Loan,1
CUST00160,57,Delhi,196773,303361,148362,73732,593,0.85,72,49659,45031,0,2,0.37,-0.13,None,0
CUST00161,58,Chennai,100617,73060,52236,32693,603,0.53,45,26697,29061,1,0,0.32,0.16,None,0
CUST00162,25,Pune,210699,305542,64430,55770,583,0.71,22,18050,85541,1,3,0.26,0.43,None,0
CUST00163,51,Hyderabad,163298,91233,121661,36613,790,0.44,95,78659,80894,1,3,0.22,0.03,Home Loan,1
CUST00164,57,Bangalore,23469,15440,11978,935,695,0.44,66,14060,15329,1,0,0.04,0.45,None,0
CUST00165,41,Hyderabad,48447,19525,32049,21607,703,0.63,28,27744,6882,1,1,0.45,-0.11,None,0
CUST00166,51,Bangalore,155469,170551,103946,65036,630,0.96,61,80688,24545,0,3,0.42,-0.09,None,0
CUST00167,42,Bangalore,174351,160585,57551,6323,810,0.94,54,50608,89033,1,1,0.04,0.63,Home Loan,1
CUST00168,45,Pune,80424,138831,23433,2064,799,0.57,74,44107,14048,0,1,0.03,0.68,Personal Loan,1
CUST00169,46,Pune,182044,101186,62592,69884,686,0.44,76,43737,40164,1,1,0.38,0.27,None,0
CUST00170,53,Pune,156999,162045,51306,62322,733,0.65,33,70955,107843,0,2,0.4,0.28,None,0
CUST00171,58,Hyderabad,115239,77791,50154,49110,740,0.49,87,32254,7166,1,0,0.43,0.14,None,0
CUST00172,55,Pune,220779,293367,64158,70323,596,0.77,89,113878,66242,0,1,0.32,0.39,Personal Loan,1
CUST00173,55,Pune,226015,180812,144781,55474,638,0.68,83,110000,78671,0,0,0.25,0.11,None,0
CUST00174,25,Mumbai,179645,248266,46845,10206,658,0.93,33,32576,56744,1,1,0.06,0.68,None,0
CUST00175,24,Bangalore,192023,111398,93023,68985,746,0.79,69,19466,59287,0,3,0.36,0.16,Auto Loan,1
CUST00176,49,Hyderabad,170872,184867,107777,61353,626,0.52,61,50609,66721,0,3,0.36,0.01,None,0
CUST00177,24,Chennai,149354,85241,125474,9457,708,0.42,27,80904,68404,0,3,0.06,0.1,Personal Loan,1
CUST00178,40,Delhi,151663,45498,105229,21816,708,0.65,40,68074,34292,1,1,0.14,0.16,Home Loan,1
CUST00179,48,Delhi,157076,165178,88974,50846,733,0.45,24,91952,37036,0,1,0.32,0.11,None,0
CUST00180,32,Chennai,236561,354080,124326,38088,805,0.89,95,55441,28773,1,3,0.16,0.31,Home Loan,1
CUST00181,54,Delhi,43556,35463,34549,14497,654,0.79,67,16006,22503,1,1,0.33,-0.13,None,0
CUST00182,56,Nagpur,227184,71483,148966,33236,827,0.44,58,32242,104208,1,2,0.15,0.2,Home Loan,1
CUST00183,24,Delhi,247817,240757,107350,23713,806,0.86,72,101416,162769,1,2,0.1,0.47,Home Loan,1
CUST00184,34,Chennai,205598,111534,163309,62055,670,0.63,65,62336,124426,1,2,0.3,-0.1,None,0
CUST00185,35,Mumbai,40010,32741,11011,13321,733,0.98,41,20888,8184,1,1,0.33,0.39,Personal Loan,1
CUST00186,49,Mumbai,23075,40821,14371,5806,703,0.9,38,12230,1818,1,0,0.25,0.13,Personal Loan,1
CUST00187,51,Pune,198488,24034,105448,26908,782,0.44,78,89644,83199,0,3,0.14,0.33,Personal Loan,1
CUST00188,43,Hyderabad,144888,258095,90657,34641,641,0.88,49,41445,27158,1,0,0.24,0.14,None,0
CUST00189,41,Chennai,62900,70338,20062,2656,614,0.9,84,4014,30576,0,1,0.04,0.64,Auto Loan,1
CUST00190,36,Bangalore,44649,16975,15732,19049,617,0.76,48,17939,21141,0,3,0.43,0.22,None,0
CUST00191,24,Pune,29093,15900,12013,6191,836,0.56,57,2589,5180,0,3,0.21,0.37,None,0
CUST00192,48,Hyderabad,58583,29646,31153,11875,688,0.69,59,18064,18349,1,0,0.2,0.27,None,0
CUST00193,59,Hyderabad,61056,6901,23289,1008,669,0.68,68,10390,16958,0,0,0.02,0.6,None,0
CUST00194,38,Bangalore,51623,51814,40158,13352,618,0.7,30,3854,16282,1,0,0.26,-0.04,None,0
CUST00195,40,Mumbai,62363,99770,40695,7245,819,0.58,88,3171,27781,0,0,0.12,0.23,Auto Loan,1
CUST00196,41,Mumbai,41377,22193,26860,14902,661,0.46,47,14575,26076,0,2,0.36,-0.01,None,0
CUST00197,23,Delhi,185708,232829,86753,49611,845,0.7,70,102567,79631,1,3,0.27,0.27,Home Loan,1
CUST00198,23,Hyderabad,117932,25114,67266,7543,660,0.82,31,25033,40120,1,1,0.06,0.37,Home Loan,1
CUST00199,52,Delhi,222054,330511,64491,38709,686,0.66,64,44734,47612,1,3,0.17,0.54,Home Loan,1
CUST00200,24,Hyderabad,97003,105224,68446,4315,654,0.75,76,6313,26683,1,1,0.04,0.25,Home Loan,1
CUST00201,28,Mumbai,86803,15288,61382,36977,736,0.71,37,34746,20695,0,1,0.43,-0.13,None,0
CUST00202,59,Delhi,157839,178330,73988,15476,783,0.74,50,67642,15529,1,3,0.1,0.43,Home Loan,1
CUST00203,24,Pune,138906,45955,43002,13055,813,0.64,25,64718,44584,0,0,0.09,0.6,Personal Loan,1
CUST00204,58,Pune,49778,80156,30452,18518,656,0.76,36,13043,11860,1,0,0.37,0.02,None,0
CUST00205,43,Bangalore,104836,159057,53913,14262,688,0.52,65,44299,17248,1,3,0.14,0.35,None,0
CUST00206,45,Mumbai,99532,85087,62281,21897,678,0.93,43,38953,14025,0,3,0.22,0.15,None,0
CUST00207,58,Mumbai,110021,53599,91143,45026,846,0.61,66,58144,10062,1,3,0.41,-0.24,None,0
CUST00208,41,Mumbai,216568,344571,176811,14501,726,0.71,71,113687,89250,0,1,0.07,0.12,None,0
CUST00209,45,Nagpur,20454,15486,11388,4531,821,0.84,72,12055,5835,1,2,0.22,0.22,Personal Loan,1
CUST00210,56,Nagpur,168575,302323,48159,240,804,0.94,38,37346,30214,0,2,0.0,0.71,Mortgage Loan,1
CUST00211,37,Chennai,117441,106945,77820,38193,633,0.72,83,25210,29489,1,3,0.33,0.01,None,0
CUST00212,51,Hyderabad,74622,133120,27639,33400,609,0.41,84,17758,33060,0,0,0.45,0.18,Auto Loan,1
CUST00213,30,Delhi,29390,47127,19691,1380,602,0.69,65,6000,14142,0,2,0.05,0.28,Mortgage Loan,1
CUST00214,35,Chennai,50955,55080,34071,139,662,0.71,35,21653,4028,1,3,0.0,0.33,None,0
CUST00215,23,Mumbai,129041,168680,83891,12258,794,0.96,74,70761,29040,1,0,0.09,0.25,Home Loan,1
CUST00216,51,Pune,182276,28660,69041,34132,793,0.51,74,59548,57333,1,3,0.19,0.43,Home Loan,1
CUST00217,35,Chennai,180993,237774,134572,65479,601,0.74,23,23272,98232,0,2,0.36,-0.11,None,0
CUST00218,55,Mumbai,186785,280256,127580,22824,628,0.59,45,82796,77597,1,3,0.12,0.19,None,0
CUST00219,27,Delhi,98811,134337,43453,4530,644,0.48,28,50738,21673,1,2,0.05,0.51,None,0
CUST00220,27,Hyderabad,197767,343903,60036,61141,797,0.74,79,78709,97439,0,2,0.31,0.39,Personal Loan,1
CUST00221,34,Mumbai,47796,83274,33773,20449,673,0.56,31,28663,3506,1,2,0.43,-0.13,None,0
CUST00222,56,Chennai,85055,38708,40079,14154,592,0.65,32,23703,42847,0,1,0.17,0.36,None,0
CUST00223,43,Chennai,200240,291070,140651,3238,795,0.96,55,91355,44240,1,0,0.02,0.28,Home Loan,1
CUST00224,22,Chennai,92083,22567,25396,27633,628,0.47,29,32145,6437,1,0,0.3,0.42,Home Loan,1
CUST00225,45,Chennai,54609,7255,17727,10164,690,0.6,31,20605,379,1,3,0.19,0.49,None,0
CUST00226,22,Hyderabad,169379,147929,69504,16753,671,0.99,46,62068,9056,0,0,0.1,0.49,Personal Loan,1
CUST00227,27,Nagpur,111574,14486,47528,38818,586,0.61,31,5661,23414,1,2,0.35,0.23,Home Loan,1
CUST00228,30,Hyderabad,134895,219548,97113,47370,624,0.64,23,73477,67055,1,1,0.35,-0.07,None,0
CUST00229,36,Bangalore,121547,110057,34605,52387,698,0.87,69,49168,47756,1,0,0.43,0.28,Home Loan,1
CUST00230,28,Mumbai,95240,110297,68457,24784,846,0.99,91,38074,25878,1,2,0.26,0.02,None,0
CUST00231,59,Delhi,182055,242582,104369,4967,753,0.44,24,58898,29342,0,0,0.03,0.4,Mortgage Loan,1
CUST00232,55,Hyderabad,65118,45729,53360,28198,641,0.88,97,22831,19728,0,1,0.43,-0.25,None,0
CUST00233,29,Chennai,95227,154843,62336,5870,629,0.91,47,39282,7258,1,3,0.06,0.28,Home Loan,1
CUST00234,33,Pune,105178,92581,84314,8334,733,0.41,48,57778,69479,1,0,0.08,0.12,None,0
CUST00235,55,Bangalore,219974,168884,167737,76526,673,0.78,58,105530,147848,1,0,0.35,-0.11,None,0
CUST00236,30,Hyderabad,102388,11812,47530,42674,834,0.78,61,23233,60780,1,2,0.42,0.12,Home Loan,1
CUST00237,48,Bangalore,234939,288067,75439,30541,827,0.99,53,140091,7385,1,0,0.13,0.55,Home Loan,1
