customer_id,age,gender,marital_status,dependents,education,employment_type,city_tier,monthly_income,salary_consistency_score,years_with_bank,avg_monthly_balance,monthly_credit_amount,monthly_debit_amount,monthly_transaction_count,emi_obligations,debt_to_income_ratio,credit_utilization_ratio,cibil_score,active_loans,missed_payments_12m,monthly_investment_amount,investment_value,has_fixed_deposit,has_mutual_fund,digital_logins_30d,upi_transactions_30d,mobile_banking_user,loan_product_interest,loan_amount_requested,loan_tenure_months,loan_accepted
CUST000022,33,Female,Single,2,Graduate,Self-employed,Tier 1,186799.34,0.77,3.4,64369.07,174968.32,149611.6,65,34631.45,0.185,0.723,697,1,0,100000.0,1925179.71,0,1,26,30,1,Auto Loan,4118000,48,0
CUST000023,53,Male,Married,0,Postgraduate,Salaried,Tier 2,30884.71,0.859,7.3,14006.22,28928.61,24977.94,40,5969.54,0.193,0.376,725,1,0,5669.15,341623.63,0,1,19,8,1,Auto Loan,550000,72,1
CUST000024,38,Female,Married,0,Graduate,Government,Tier 1,64756.59,1.0,7.9,50875.64,60655.2,58475.46,44,11382.97,0.176,0.208,749,2,0,7206.66,202484.09,0,0,31,25,1,Personal Loan,296000,60,0
CUST000025,35,Female,Single,0,Graduate,Business,Tier 1,53733.32,0.775,8.7,16338.31,50330.1,49331.43,35,9250.32,0.172,0.29,786,1,0,5177.56,234514.8,0,1,28,21,1,Auto Loan,588000,24,0
CUST000026,36,Male,Divorced,1,Graduate,Salaried,Tier 1,59642.37,0.985,8.7,46190.25,55864.89,50583.41,51,11682.02,0.196,0.133,726,2,0,13476.29,1162983.1,0,1,28,25,1,Auto Loan,810000,72,1
CUST000027,46,Male,Married,0,Graduate,Salaried,Tier 1,49195.97,0.842,1.8,150001.47,46080.12,33840.43,36,3719.64,0.076,0.399,757,1,0,9843.72,568838.49,0,1,20,18,1,Personal Loan,326000,60,1
CUST000028,44,Male,Single,0,High School,Salaried,Tier 3,24232.74,0.901,16.6,10024.76,22697.95,22685.51,34,3201.46,0.132,0.336,758,1,0,0.0,0.0,1,0,16,18,1,Personal Loan,207000,60,0
CUST000029,45,Female,Single,2,Postgraduate,Business,Tier 1,140813.26,0.73,7.0,68716.69,131894.79,129523.95,60,14925.24,0.106,0.461,704,3,1,53782.36,1673620.16,0,1,24,18,0,Home Loan,5477000,240,0
CUST000030,45,Female,Married,1,Graduate,Salaried,Tier 1,62328.73,1.0,3.5,26871.5,58381.11,53644.05,39,16988.92,0.273,0.363,672,1,1,21958.81,148591.26,0,0,16,22,0,Personal Loan,514000,12,0
CUST000031,64,Female,Married,1,Graduate,Retired,Tier 2,28352.3,1.0,10.9,19635.21,26556.59,24868.59,35,9594.99,0.338,0.476,724,1,0,16043.73,697835.02,0,0,10,4,1,Personal Loan,182000,12,1
CUST000032,36,Female,Divorced,1,Graduate,Salaried,Tier 2,27281.24,0.868,4.4,12727.29,25553.37,21456.48,32,9757.37,0.358,0.238,687,1,1,6585.65,398622.06,0,0,26,26,1,Auto Loan,272000,24,1
CUST000033,34,Female,Single,3,High School,Self-employed,Tier 2,51502.07,0.833,12.9,25099.24,48240.16,43780.01,37,7259.11,0.141,0.506,725,2,0,5750.4,392592.4,0,0,22,32,0,Mortgage Loan,3841000,60,0
CUST000034,31,Female,Married,1,Graduate,Salaried,Tier 2,39750.77,1.0,3.6,8663.79,37233.14,33421.34,47,0.0,0.0,0.215,763,0,1,2843.15,90076.52,0,0,28,28,1,Personal Loan,243000,36,1
CUST000035,47,Male,Single,2,Graduate,Salaried,Tier 1,41319.19,0.829,4.9,19954.17,38702.22,34558.4,44,3924.24,0.095,0.104,783,1,0,3002.52,55020.4,0,0,17,20,0,Home Loan,2161000,120,0
CUST000036,52,Female,Married,0,High School,Self-employed,Tier 2,23399.79,0.692,2.5,6369.14,21917.75,18700.4,27,5316.25,0.227,0.251,699,2,1,2137.17,90692.42,0,1,14,8,1,Home Loan,868000,180,0
CUST000037,39,Male,Married,0,Postgraduate,Salaried,Tier 1,95150.89,0.849,5.0,33769.57,89124.47,83835.94,63,43555.09,0.458,0.691,651,5,0,14664.58,760537.33,1,1,20,22,1,Mortgage Loan,3436000,120,0
CUST000038,31,Male,Married,2,Graduate,Salaried,Tier 3,31579.51,0.754,3.0,37040.03,29579.41,26548.49,41,4751.04,0.15,0.261,751,2,0,6030.89,52038.75,0,0,26,49,1,Home Loan,1771000,240,0
CUST000039,31,Male,Single,0,Graduate,Business,Tier 2,63611.25,0.735,4.2,20835.29,59582.4,56280.53,39,0.0,0.0,0.361,773,0,0,13643.14,704730.33,0,1,31,37,1,Home Loan,3429000,300,1
CUST000040,47,Female,Single,1,High School,Salaried,Tier 2,118638.11,0.636,13.6,53053.94,111124.11,99024.46,48,34860.47,0.294,0.416,690,1,0,46949.61,3556957.83,0,1,22,14,1,Auto Loan,1698000,84,1
CUST000041,48,Female,Married,0,Graduate,Business,Tier 1,133188.98,0.726,5.3,107422.35,124753.4,116247.27,41,12333.7,0.093,0.169,739,1,0,67777.6,1680184.43,0,0,9,22,1,Personal Loan,1252000,24,0
CUST000042,46,Female,Single,3,Graduate,Government,Tier 2,52409.53,0.946,13.9,24836.28,49090.15,37736.55,36,10951.71,0.209,0.515,690,1,0,24200.89,2657879.31,0,1,15,15,0,Home Loan,1845000,360,0
CUST000043,33,Male,Married,0,High School,Salaried,Tier 2,16179.04,0.875,4.4,12974.67,15154.33,11360.57,38,7391.6,0.457,0.606,679,3,0,3995.85,178814.52,0,0,22,40,1,Mortgage Loan,727000,60,0
CUST000044,43,Female,Single,0,Graduate,Salaried,Tier 2,106144.97,0.863,17.3,170414.93,99422.23,90657.57,47,7033.37,0.066,0.313,716,1,0,0.0,0.0,1,1,15,14,1,Auto Loan,1388000,72,0
CUST000045,41,Female,Single,0,Postgraduate,Salaried,Tier 3,60727.4,0.845,7.1,45135.89,56881.2,40040.48,42,0.0,0.0,0.139,870,0,0,11416.86,874645.14,0,1,16,14,0,Auto Loan,776000,60,1
CUST000046,42,Male,Married,0,High School,Self-employed,Tier 1,145156.89,0.533,2.1,37514.01,135963.31,118992.66,51,0.0,0.0,0.616,697,0,0,39267.43,494410.96,0,1,25,22,1,Home Loan,5068000,120,1
CUST000047,50,Male,Single,2,High School,Salaried,Tier 1,37016.77,0.768,4.4,38160.27,34672.3,29241.24,39,6156.18,0.166,0.63,692,1,0,1669.81,87357.26,0,0,18,17,1,Personal Loan,281000,60,0
CUST000048,42,Male,Married,1,Postgraduate,Salaried,Tier 2,42421.21,0.875,6.3,19204.22,39734.44,34991.45,37,0.0,0.0,0.063,774,0,0,9818.33,291559.19,0,1,22,24,1,Personal Loan,273000,12,1
CUST000049,47,Female,Married,0,Graduate,Self-employed,Tier 1,142082.68,0.666,4.7,25088.31,133083.81,124508.67,48,16103.83,0.113,0.353,755,3,0,42212.39,2027899.47,0,1,12,10,0,Auto Loan,2246000,84,0
CUST000050,41,Male,Single,1,High School,Government,Tier 2,39533.02,1.0,3.4,10813.96,37029.18,26044.79,44,6406.58,0.162,0.203,774,1,0,17214.64,325238.83,0,0,26,28,1,Home Loan,1906000,240,1
CUST000051,43,Female,Married,3,Professional,Self-employed,Tier 3,131467.67,0.632,6.3,64258.01,123141.11,85820.71,45,0.0,0.0,0.128,768,0,0,23116.52,1168468.28,1,1,19,29,1,Personal Loan,744000,48,1
CUST000052,47,Female,Married,3,High School,Salaried,Tier 1,29925.33,0.794,6.7,25426.51,28030.0,22737.7,44,6077.06,0.203,0.264,733,1,1,2020.21,101203.49,0,0,17,18,0,Auto Loan,649000,60,0
CUST000053,24,Male,Married,1,Postgraduate,Self-employed,Tier 1,43036.68,0.645,6.0,19096.77,40310.93,31636.79,31,8263.91,0.192,0.22,746,1,0,0.0,0.0,1,0,30,33,1,Personal Loan,330000,60,1
CUST000054,36,Male,Married,1,Postgraduate,Self-employed,Tier 1,58910.06,0.494,11.0,38881.37,55178.96,45184.51,46,13075.03,0.222,0.225,635,2,1,0.0,0.0,0,0,25,28,0,Personal Loan,517000,60,0
CUST000055,35,Male,Married,2,Graduate,Government,Tier 2,15000.0,0.964,8.7,6367.03,14049.97,14622.0,43,0.0,0.0,0.371,758,0,0,714.86,56231.74,0,0,30,30,1,Home Loan,721000,120,1
CUST000056,33,Female,Married,1,Graduate,Self-employed,Tier 2,41108.04,0.716,3.7,72675.42,38504.44,34476.23,28,12427.54,0.302,0.353,668,1,2,6440.83,229185.75,1,0,24,26,1,Home Loan,1924000,180,0
CUST000057,37,Female,Married,1,Graduate,Self-employed,Tier 2,24967.04,0.776,11.9,9016.88,23385.74,19995.88,33,0.0,0.0,0.274,743,0,0,2637.74,205830.97,0,0,24,22,1,Auto Loan,293000,72,0
CUST000058,56,Male,Married,0,Graduate,Self-employed,Tier 2,68766.87,0.692,3.1,90429.17,64411.49,60337.48,56,21497.42,0.313,0.434,619,1,2,8019.84,409527.97,0,0,12,9,1,Personal Loan,530000,48,0
CUST000059,30,Male,Married,1,Graduate,Salaried,Tier 3,34087.52,0.79,9.7,18797.99,31928.57,29853.01,30,0.0,0.0,0.087,795,0,0,350.91,12704.5,0,0,28,29,0,Auto Loan,756000,84,0
CUST000060,51,Female,Single,0,Professional,Self-employed,Tier 3,59251.82,0.615,5.6,42582.77,55499.08,46598.32,37,0.0,0.0,0.465,698,0,0,0.0,0.0,0,0,7,22,1,Auto Loan,610000,84,0
CUST000061,21,Female,Single,0,Graduate,Business,Tier 1,73459.07,0.705,2.9,8513.41,68806.51,50414.98,51,0.0,0.0,0.077,785,0,0,31082.81,1068726.84,0,1,34,25,1,Home Loan,1964000,240,0
CUST000062,36,Male,Single,0,Postgraduate,Business,Tier 2,95892.82,0.664,2.5,144421.65,89819.4,90253.75,40,0.0,0.0,0.469,701,0,1,0.0,0.0,0,0,23,31,1,Personal Loan,594000,48,0
CUST000063,42,Male,Single,1,Graduate,Salaried,Tier 2,92634.36,0.786,6.5,28511.51,86767.32,86718.73,40,0.0,0.0,0.651,740,0,0,27341.76,1501403.98,0,0,20,21,1,Home Loan,3308000,120,1
CUST000064,46,Female,Divorced,0,Graduate,Salaried,Tier 1,149077.17,0.831,2.0,127616.3,139635.3,137918.7,35,11238.56,0.075,0.479,720,1,0,28839.08,425540.94,1,0,27,18,1,Personal Loan,1264000,60,0
CUST000065,48,Male,Widowed,1,Graduate,Salaried,Tier 2,61187.53,0.957,6.4,22932.3,57312.19,52083.45,30,17690.82,0.289,0.346,764,1,0,50302.27,2858273.44,0,0,17,17,0,Home Loan,2141000,240,0
CUST000066,49,Male,Single,1,Graduate,Government,Tier 2,66844.67,0.98,7.6,16131.58,62611.03,54595.53,38,18455.76,0.276,0.687,672,1,0,6117.01,201640.36,0,0,19,15,0,Mortgage Loan,3434000,120,0
CUST000067,36,Female,Divorced,3,Graduate,Self-employed,Tier 1,84071.56,0.738,14.3,82315.53,78746.85,61299.37,34,0.0,0.0,0.478,707,0,0,18882.4,370810.42,1,1,36,25,1,Auto Loan,1624000,36,1
CUST000068,35,Male,Married,1,Graduate,Government,Tier 1,123245.23,0.887,2.7,49269.69,115439.44,83339.31,58,0.0,0.0,0.245,771,0,0,15774.69,477642.61,0,0,31,24,1,Personal Loan,918000,36,0
CUST000069,49,Male,Married,2,Postgraduate,Salaried,Tier 2,44805.71,0.99,5.8,23362.97,41967.92,38388.99,33,10783.91,0.241,0.631,691,1,0,21512.56,869431.41,0,1,11,19,0,Personal Loan,418000,36,0
CUST000070,38,Male,Divorced,0,Postgraduate,Self-employed,Tier 1,73896.24,0.698,10.8,34277.48,69215.99,67407.17,38,9321.99,0.126,0.197,801,1,0,4842.56,410003.75,0,1,23,30,1,Auto Loan,1555000,36,0
CUST000071,26,Male,Married,2,Graduate,Salaried,Tier 2,22436.16,0.912,2.9,4058.85,21015.16,18588.44,36,1683.82,0.075,0.347,702,1,1,0.0,0.0,0,0,21,36,1,Home Loan,704000,120,0
CUST000072,28,Male,Married,1,High School,Self-employed,Tier 1,31472.64,0.665,7.6,8310.45,29479.31,25112.42,40,1787.38,0.057,0.339,776,2,0,2592.33,154310.79,1,0,37,28,1,Auto Loan,547000,24,1
CUST000073,30,Male,Single,5,Postgraduate,Government,Tier 3,39554.86,0.752,9.7,6170.9,37049.64,28584.07,41,0.0,0.0,0.447,665,0,2,8056.94,377331.37,0,1,22,23,1,Home Loan,1342000,180,0
CUST000074,45,Female,Single,1,Graduate,Government,Tier 2,36439.68,1.0,5.3,11489.41,34131.76,30096.27,42,0.0,0.0,0.237,703,0,1,0.0,0.0,0,0,13,24,0,Auto Loan,550000,48,0
CUST000075,42,Male,Divorced,0,Postgraduate,Salaried,Tier 1,106343.88,0.904,6.4,156731.8,99608.54,90632.88,47,0.0,0.0,0.436,733,0,0,30483.92,955142.68,0,0,23,17,0,Personal Loan,964000,48,0
CUST000076,48,Female,Single,1,High School,Government,Tier 3,40085.93,0.868,5.0,47587.18,37547.07,31192.06,43,4296.56,0.107,0.813,691,2,0,5349.48,117144.5,1,1,13,18,1,Personal Loan,234000,60,0
CUST000077,35,Female,Single,1,High School,Business,Tier 1,55955.59,0.886,11.5,102202.46,52411.62,42173.01,31,24248.28,0.433,0.402,733,2,0,18479.76,1823486.44,0,1,26,27,0,Home Loan,1912000,120,0
CUST000078,42,Male,Single,0,High School,Government,Tier 3,34049.21,0.951,14.8,35176.06,31892.69,34179.69,40,5520.89,0.162,0.107,766,2,0,11172.78,206181.78,1,1,24,22,1,Personal Loan,219000,48,1
CUST000079,47,Male,Married,0,High School,Salaried,Tier 3,70980.69,0.85,4.7,48287.3,66485.1,61450.94,39,14766.5,0.208,0.499,708,1,0,14917.4,901992.39,1,1,25,19,1,Auto Loan,1460000,72,0
CUST000080,37,Non-binary,Married,0,Postgraduate,Salaried,Tier 2,78579.56,0.802,3.1,110857.96,73602.69,60596.71,45,0.0,0.0,0.354,733,0,0,7423.95,208666.71,1,0,25,29,1,Personal Loan,353000,60,0
CUST000081,45,Male,Divorced,0,Graduate,Salaried,Tier 3,25971.28,0.829,7.2,10798.33,24326.38,18661.84,33,0.0,0.0,0.074,770,0,0,0.0,0.0,0,1,24,24,1,Home Loan,1464000,300,1
CUST000082,33,Male,Married,1,Professional,Business,Tier 3,57298.79,0.591,3.9,82019.52,53669.75,49121.01,44,12340.57,0.215,0.473,715,1,0,17010.05,658124.72,0,1,23,32,1,Personal Loan,516000,12,0
CUST000083,36,Female,Married,1,Graduate,Salaried,Tier 2,33417.33,0.844,5.4,19630.23,31300.83,30187.34,36,0.0,0.0,0.465,738,0,1,4022.64,212643.54,0,0,25,24,1,Personal Loan,259000,36,0
CUST000084,36,Male,Married,2,Postgraduate,Business,Tier 1,198309.73,0.71,15.0,112667.84,185749.69,153989.96,49,39277.99,0.198,0.315,748,1,0,56395.46,1399006.3,1,0,12,24,1,Personal Loan,1331000,12,0
CUST000085,27,Male,Married,0,Postgraduate,Government,Tier 1,52876.21,0.994,4.0,30530.16,49527.27,42317.0,52,0.0,0.0,0.42,791,0,0,12946.9,467576.82,0,0,34,35,1,Auto Loan,839000,84,0
CUST000086,45,Female,Single,2,Graduate,Salaried,Tier 1,43884.07,0.734,1.7,57705.7,41104.65,40102.45,44,0.0,0.0,0.082,700,0,1,9243.13,229795.71,0,1,16,17,1,Home Loan,1669000,360,0
CUST000087,35,Male,Single,1,Postgraduate,Salaried,Tier 2,40417.86,0.815,5.3,81072.66,37857.98,29122.9,36,11123.15,0.275,0.245,725,5,0,7303.48,98230.92,1,1,27,26,1,Auto Loan,446000,36,0
CUST000088,40,Male,Married,0,Graduate,Salaried,Tier 1,49243.25,0.781,2.2,12612.91,46124.41,41382.3,28,12405.54,0.252,0.502,701,3,1,16503.66,831639.85,0,1,27,14,1,Personal Loan,450000,48,0
CUST000089,45,Female,Married,0,Graduate,Salaried,Tier 2,42813.59,0.952,3.9,44722.17,40101.97,33402.11,38,4546.01,0.106,0.351,807,1,0,13093.28,136998.24,1,0,18,16,1,Auto Loan,793000,60,1
CUST000090,45,Male,Married,1,Graduate,Self-employed,Tier 1,54956.66,0.724,1.5,26280.47,51475.96,47321.11,40,0.0,0.0,0.216,743,0,0,0.0,0.0,0,0,27,18,1,Home Loan,1893000,180,0
CUST000091,47,Female,Divorced,1,Graduate,Salaried,Tier 3,67555.6,0.727,15.0,37095.54,63276.94,45841.45,32,7342.48,0.109,0.44,739,2,0,23067.85,1427464.03,1,1,24,25,1,Auto Loan,1166000,36,1
CUST000092,39,Female,Married,0,High School,Self-employed,Tier 1,43999.59,0.648,12.6,25703.55,41212.86,41513.62,25,4506.75,0.102,0.823,673,1,0,16024.05,414020.12,0,1,19,31,1,Auto Loan,875000,60,0
CUST000093,35,Female,Single,0,Graduate,Government,Tier 2,43468.93,1.0,12.6,45044.6,40715.81,29504.85,40,9154.6,0.211,0.461,755,2,0,8470.35,588664.2,0,0,27,32,1,Personal Loan,208000,48,0
CUST000094,39,Female,Married,2,Professional,Salaried,Tier 1,133453.46,0.939,8.8,32548.64,125001.12,117869.04,53,23575.35,0.177,0.169,798,2,0,5433.39,350473.61,0,0,23,19,1,Auto Loan,1762000,24,1
CUST000095,21,Female,Married,0,Postgraduate,Salaried,Tier 2,70183.15,0.852,3.0,16968.0,65738.07,54108.53,37,25944.24,0.37,0.251,688,2,0,9365.07,149051.82,0,0,23,35,0,Mortgage Loan,4923000,180,0
CUST000096,24,Male,Married,0,Postgraduate,Business,Tier 1,67554.5,0.754,2.8,39670.22,63275.91,50580.27,50,22797.49,0.337,0.277,740,1,0,9606.83,607773.88,0,0,26,26,1,Mortgage Loan,3073000,84,1
CUST000097,25,Female,Single,0,Postgraduate,Self-employed,Tier 2,100623.23,0.734,2.3,22770.63,94250.21,87764.13,40,27635.0,0.275,0.161,731,1,0,0.0,0.0,0,0,30,32,1,Personal Loan,655000,24,0
CUST000098,29,Male,Single,3,Graduate,Salaried,Tier 1,51313.63,1.0,5.4,32254.77,48063.66,42168.18,43,0.0,0.0,0.137,769,0,0,10417.83,681271.76,0,1,24,41,1,Home Loan,1618000,180,1
CUST000099,44,Male,Married,2,Postgraduate,Salaried,Tier 2,58831.85,0.845,2.7,61366.22,55105.71,47985.33,37,12808.12,0.218,0.221,741,2,0,6466.24,129922.66,0,0,25,23,1,Auto Loan,1133000,60,1
CUST000100,30,Female,Single,1,Graduate,Salaried,Tier 2,63474.71,0.989,5.0,46401.49,59454.51,52394.64,33,8341.97,0.131,0.632,731,1,0,22109.97,814951.65,0,1,28,40,1,Personal Loan,541000,36,1
CUST000101,36,Female,Single,2,Postgraduate,Salaried,Tier 3,64244.22,0.836,4.1,45725.42,60175.28,53654.99,47,0.0,0.0,0.561,718,0,0,24114.26,1304192.2,0,1,21,28,0,Auto Loan,1354000,60,0
CUST000102,54,Male,Married,3,Graduate,Government,Tier 1,78001.95,0.902,1.0,26101.2,73061.66,49725.88,49,15987.52,0.205,0.295,750,1,0,10540.75,185201.52,0,1,14,18,1,Personal Loan,383000,36,0
CUST000103,36,Male,Married,0,Graduate,Salaried,Tier 1,50451.06,0.865,13.1,78712.16,47255.72,46994.94,42,0.0,0.0,0.169,786,0,0,22368.75,2172222.46,0,0,37,31,1,Auto Loan,713000,24,1
CUST000104,48,Male,Single,3,Graduate,Salaried,Tier 3,47422.07,0.893,3.8,59214.14,44418.57,39775.03,38,11852.07,0.25,0.268,694,1,0,13220.17,127492.84,0,1,19,19,1,Personal Loan,432000,48,1
CUST000105,30,Female,Married,2,High School,Salaried,Tier 2,22931.46,0.94,5.0,29322.24,21479.09,18252.92,34,0.0,0.0,0.203,754,0,0,2607.59,191992.01,0,0,24,27,1,Auto Loan,314000,72,0
CUST000106,38,Male,Single,0,Graduate,Government,Tier 2,43250.99,0.942,3.6,34879.27,40511.67,39848.43,29,4937.19,0.114,0.127,731,1,0,9581.33,89868.47,1,0,22,18,1,Auto Loan,459000,24,1
CUST000107,30,Male,Married,0,Professional,Salaried,Tier 1,69930.77,0.839,9.3,21323.18,65501.67,63953.79,48,15488.79,0.221,0.536,668,3,0,10520.89,299072.4,1,1,26,31,0,Home Loan,3329000,360,0
CUST000108,36,Male,Married,1,Graduate,Salaried,Tier 2,53342.35,0.811,1.1,13440.71,49963.89,48840.4,40,8744.04,0.164,0.837,658,1,0,1683.35,37553.56,0,0,21,32,1,Auto Loan,670000,84,0
CUST000109,49,Female,Divorced,1,High School,Salaried,Tier 2,80603.86,0.927,7.2,95086.72,75498.78,63910.63,44,20774.38,0.258,0.485,627,1,2,2880.52,118237.47,1,0,14,11,0,Personal Loan,380000,36,1
CUST000110,21,Male,Single,2,Professional,Business,Tier 3,58474.94,0.723,0.4,24258.32,54771.4,46095.23,48,0.0,0.0,0.273,749,0,0,3171.74,119393.46,0,0,26,35,0,Personal Loan,348000,60,1
CUST000111,45,Female,Married,0,Professional,Government,Tier 2,115722.02,0.974,24.6,27169.88,108392.71,104251.92,48,21014.36,0.182,0.222,729,1,0,26856.27,1749670.76,1,1,15,17,1,Auto Loan,1533000,60,0
CUST000112,43,Male,Divorced,2,Postgraduate,Government,Tier 2,74618.4,0.982,14.9,9169.76,69892.41,56534.19,51,7222.43,0.097,0.697,714,1,0,19485.95,990780.17,0,1,22,22,0,Mortgage Loan,3375000,60,0
CUST000113,33,Male,Married,1,Graduate,Government,Tier 1,85800.31,1.0,2.9,93175.2,80366.11,69639.24,45,15939.16,0.186,0.24,751,1,0,12893.28,215867.37,1,1,27,34,1,Personal Loan,672000,24,0
CUST000114,24,Male,Widowed,2,Graduate,Business,Tier 1,129422.86,0.81,2.0,145136.82,121225.8,103362.94,50,28490.7,0.22,0.688,675,1,1,0.0,0.0,0,0,25,22,1,Mortgage Loan,6460000,120,0
CUST000115,41,Female,Single,0,Postgraduate,Salaried,Tier 1,70877.31,0.94,16.7,157639.64,66388.26,54375.03,47,0.0,0.0,0.09,804,0,0,0.0,0.0,1,0,9,26,0,Auto Loan,726000,84,0
CUST000116,34,Male,Single,0,High School,Government,Tier 2,15535.15,0.938,9.6,9963.15,14551.22,12071.91,47,799.36,0.051,0.261,727,1,0,3952.59,61465.78,1,0,26,27,1,Home Loan,413000,240,1
CUST000117,43,Female,Married,0,Graduate,Government,Tier 2,30293.33,0.848,3.8,18070.53,28374.69,23349.1,46,13222.06,0.436,0.205,641,1,2,9929.21,560117.67,0,1,14,16,1,Auto Loan,615000,60,0
